     92 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__csl_to_ir_1 shadows `pycsltojsonemitter___csl_to_ir`
     44 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__py_expr_to_ir_1 shadows `pycsltojsonemitter___py_expr_to_ir`
      7 bypassing use(s), 0 concrete   module6_whyml_statements.mlw::self__field_type_of_1 shadows `statementemissionmixin___field_type_of`
      7 bypassing use(s), 0 concrete   module6_whyml_types.mlw::self__field_type_of_1 shadows `typeinferencemixin___field_type_of`
      6 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__py_op_to_str_1 shadows `pycsltojsonemitter___py_op_to_str`
      6 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__field_label_2 shadows `expressionemissionmixin___field_label`
      5 bypassing use(s), 0 concrete   module6_whyml_statements.mlw::self__rhs_yields_map_1 shadows `statementemissionmixin___rhs_yields_map`
      5 bypassing use(s), 0 concrete   module6_whyml_types.mlw::self__rhs_yields_map_1 shadows `typeinferencemixin___rhs_yields_map`
      4 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__coerce_to_int_1 shadows `expressionemissionmixin___coerce_to_int`
      3 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__is_final_annotation_1 shadows `pycsltojsonemitter___is_final_annotation`
      3 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__array_coerce_arg_1 shadows `expressionemissionmixin___array_coerce_arg`
      2 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__wrap_optional_2 shadows `pycsltojsonemitter___wrap_optional`
      2 bypassing use(s), 0 concrete   frontend_pure_ast.mlw::self__for_helper_2 shadows `_unparser___for_helper`
      2 bypassing use(s), 0 concrete   frontend_pure_ast.mlw::self__write_constant_1 shadows `_unparser___write_constant`
      2 bypassing use(s), 0 concrete   frontend_pure_ast.mlw::self__write_str_avoiding_backslashes_1 shadows `_unparser___write_str_avoiding_backslashes`
      2 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__is_float_expr_1 shadows `expressionemissionmixin___is_float_expr`
      2 bypassing use(s), 0 concrete   module6_whyml_statements.mlw::self__array_coerce_arg_1 shadows `statementemissionmixin___array_coerce_arg`
      2 bypassing use(s), 0 concrete   module6_whyml_stmt_control_flow.mlw::self__bool_ir_to_int_wrap_2 shadows `controlflowstmtmixin___bool_ir_to_int_wrap`
      2 bypassing use(s), 0 concrete   module6_whyml_stmt_control_flow.mlw::self__first_assign_value_ir_2 shadows `controlflowstmtmixin___first_assign_value_ir`
      2 bypassing use(s), 0 concrete   module6_whyml_stmt_control_flow.mlw::self__materialize_bridge_0 shadows `controlflowstmtmixin___materialize_bridge`
      2 bypassing use(s), 0 concrete   module6_whyml_stmt_control_flow.mlw::self__materialize_str_bridge_0 shadows `controlflowstmtmixin___materialize_str_bridge`
      2 bypassing use(s), 0 concrete   module6_whyml_stmt_control_flow.mlw::self__union_arm_whyml_type_1 shadows `controlflowstmtmixin___union_arm_whyml_type`
      1 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__extract_generic_arg_names_1 shadows `pycsltojsonemitter___extract_generic_arg_names`
      1 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__m5_get_type_name_legacy_1 shadows `pycsltojsonemitter___m5_get_type_name_legacy`
      1 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__process_for_1 shadows `pycsltojsonemitter___process_for`
      1 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__process_if_1 shadows `pycsltojsonemitter___process_if`
      1 bypassing use(s), 0 concrete   frontend_Module5_IREmitter.mlw::self__process_while_1 shadows `pycsltojsonemitter___process_while`
      1 bypassing use(s), 0 concrete   module6_whyml_auto_trust.mlw::self__collect_map_typed_locals_1 shadows `autotrustmixin___collect_map_typed_locals`
      1 bypassing use(s), 0 concrete   module6_whyml_auto_trust.mlw::self__has_set_op_on_map_2 shadows `autotrustmixin___has_set_op_on_map`
      1 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__is_null_byte_lit_1 shadows `expressionemissionmixin___is_null_byte_lit`
      1 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__match_field_decode_idiom_1 shadows `expressionemissionmixin___match_field_decode_idiom`
      1 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__module_binding_names_0 shadows `expressionemissionmixin___module_binding_names`
      1 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__slice_array_or_opaque_6 shadows `expressionemissionmixin___slice_array_or_opaque`
      1 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__var_todict_alias_3 shadows `expressionemissionmixin___var_todict_alias`
      1 bypassing use(s), 0 concrete   module6_whyml_expressions.mlw::self__whyml_string_literal_1 shadows `expressionemissionmixin___whyml_string_literal`
      1 bypassing use(s), 0 concrete   module6_whyml_functions.mlw::self__first_tuple_return_elts_1 shadows `functionemissionmixin___first_tuple_return_elts`
      1 bypassing use(s), 0 concrete   module6_whyml_functions.mlw::self__refine_tuple_return_type_3 shadows `functionemissionmixin___refine_tuple_return_type`
      1 bypassing use(s), 0 concrete   module6_whyml_functions.mlw::self__returns_string_seq_1 shadows `functionemissionmixin___returns_string_seq`
      1 bypassing use(s), 0 concrete   module6_whyml_statements.mlw::self__field_label_2 shadows `statementemissionmixin___field_label`
      1 bypassing use(s), 0 concrete   module6_whyml_statements.mlw::self__field_type_for_2 shadows `statementemissionmixin___field_type_for`
      1 bypassing use(s), 0 concrete   module6_whyml_statements.mlw::self__materialize_str_bridge_0 shadows `statementemissionmixin___materialize_str_bridge`
      1 bypassing use(s), 0 concrete   module6_whyml_statements.mlw::self__rhs_yields_array_1 shadows `statementemissionmixin___rhs_yields_array`
      1 bypassing use(s), 0 concrete   module6_whyml_stmt_control_flow.mlw::self__infer_return_value_type_1 shadows `controlflowstmtmixin___infer_return_value_type`
      1 bypassing use(s), 0 concrete   module6_whyml_stmt_control_flow.mlw::self__match_subject_union_info_1 shadows `controlflowstmtmixin___match_subject_union_info`
