NO-LIVE-SOURCE       ExpressionEmissionMixin._add_abstract_op  
L3TC-FAIL            ExpressionEmissionMixin._is_emit_ir_expr  ['This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            ExpressionEmissionMixin._e  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            ExpressionEmissionMixin._to_bool  ['but is expected to have type string -> option.Option.option int']
L3TC-FAIL            ExpressionEmissionMixin._match_pattern_cond  ['This expression has type string, but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._emit_membership  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._emit_bitwise_or_power  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._is_string_expr  ["unbound function or predicate symbol '_sing0'"]
L3TC-FAIL            ExpressionEmissionMixin._handle_binop  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._iter_len_expr  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_len_call  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_join_call  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_sum_call  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._resolve_dotted_signature  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_dotted_call  ["unbound function or predicate symbol 'param_types'"]
L3TC-FAIL            ExpressionEmissionMixin._coerce_dotted_args  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._dotted_ensures_suffix  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._handle_struct_call  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._emit_contract_logic_symbol  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._linear_form  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._static_width  ['but is expected to have type string -> option.Option.option int']
L3TC-FAIL            ExpressionEmissionMixin._handle_call_expr  ['This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            ExpressionEmissionMixin._content_string_method  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._call_named_builtins  ['This expression has type int, but is expected to have type string']
ERASURE              ExpressionEmissionMixin._emit_metatype_tags  ['hashed literal (string erased to an int)']
L3TC-FAIL            ExpressionEmissionMixin._tag_of_value  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_isinstance  ["This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._call_record_constructor  ["This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._call_bytes_methods  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_subscript  ['  _check_union_gt1(ir)']
L3TC-FAIL            ExpressionEmissionMixin._handle_attribute_expr  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._push_quant_binder  ['but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._pop_quant_binder  ["This pattern has type ('mu, 'mu1), but is expected to have type int"]
L3TC-FAIL            ExpressionEmissionMixin._handle_fstring_expr  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_ifexpr_expr  ["This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._expr_to_whyml  ["unbound function or predicate symbol '_sing'"]
L3TC-FAIL            ExpressionEmissionMixin._expr_to_whyml_string_ctx  ['This expression has type int, but is expected to have type string']
