CLEAN                _ContractParser._err  
L3TC-FAIL            _ContractParser._try  ['This expression has type int, it cannot be applied']
L3TC-FAIL            _ContractParser.parse  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            _ContractParser._parse_contract  ['syntax error']
L3TC-FAIL            _ContractParser._parse_trusted  ['This expression has type (), but is expected to have type string']
L3TC-FAIL            _ContractParser._grab_reviewer_id  ['This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            _ContractParser._parse_no_exception  ['This expression has type array.Array.array int @rho, but is expected to have type array.Array.array string @rho1']
L3TC-FAIL            _ContractParser._parse_assumes  ['This expression has type PyCSL_Program.boundedintdecl @rho, but is expected to have type int']
L3TC-FAIL            _ContractParser._parse_assigns  ['This expression has type PyCSL_Program.assigns <array.Array.array int @rho1> @rho, but is expected to have type PyCSL_Program.emit_ir']
L3TC-FAIL            _ContractParser._parse_assigns_target  ['heterogeneous list literal (contains a record (Nothing) element mixed with other element types) has no faithful WhyML `array` element type: a Python list is heterogeneous but a WhyML `array` is homogeneous. Coercing the non-int element to an int would be unsound (a str hashes to a well-typed int; a float/record ill-types). Use a homogeneous list, a Tuple (fixed-arity heterogeneous slots), or a record/@dataclass for heterogeneous fields.']
L3TC-FAIL            _ContractParser._parse_act_block  ['This expression has type PyCSL_Program.emit_ir, but is expected to have type int']
L3TC-FAIL            _ContractParser._parse_happy  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            _ContractParser._parse_happy_targets  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            _ContractParser._parse_datatype  ['This expression has type PyCSL_Program.datatypedecl <array.Array.array int @rho1, array.Array.array int @rho2> @rho, but is expected to have type int']
L3TC-FAIL            _ContractParser._parse_variant_def  ['This expression has type (string, seq.Seq.seq string), but is expected to have type (int, int)']
L3TC-FAIL            _ContractParser._parse_inductive  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            _ContractParser._parse_inductive_rules  ['This expression has type array.Array.array int @rho, but is expected to have type int']
CLEAN                _ContractParser._parse_mutex_expr_str  
L3TC-FAIL            _ContractParser._parse_quantifier  ['This expression has type ref int @rho, it cannot be applied']
L3TC-FAIL            _ContractParser._parse_atom_primary  ['This expression has type PyCSL_Program.stringliteral @rho, but is expected to have type PyCSL_Program.emit_ir']
L3TC-FAIL            _ContractParser._parse_atom_name  ['syntax error']
L3TC-FAIL            _ContractParser._parse_atom_bs  ["unbound function or predicate symbol 'i'"]
L3TC-FAIL            _ContractParser._parse_expr_list  ['This expression has type seq.Seq.seq PyCSL_Program.emit_ir, but is expected to have type seq.Seq.seq int']
L3TC-FAIL            Module2_Parser.parse_contract  ['this expression raises unlisted exception PyCSLParseError']
L3TC-FAIL            <module>._lex_contract  ["unbound function or predicate symbol 'toks'"]
