ABSENT               AST.__repr__  
ABSENT               _ABC.__instancecheck__  
L3TC-FAIL            Ellipsis.__new__  ["[*] Parsing and Semantic Analysis for '/home/fabrice/git/pycsl/scratchpad/w4/wt/src/self-annotate/src/frontend/pure_ast.py'... [*] Memory model: hoare [!] PIPELINE ERROR: Class 'Ellipsis' (line 97): non-trivial `__new__` is rejected under UB-7.6. Allocation interposition (caching, singletons, returning a different instance, or conditional allocation) cannot be soundly modelled — construction `C(...)` is a fresh record literal. Only `return super().__new__(cls)` / `return object.__new__(cls)` is accepted (it is the default allocation, populated by `__init__`). See config/skills/pycsl-ub-catalog/SKILL.md §7.6."]
ABSENT               _Tok.__repr__  
ABSENT               Comment.__repr__  
L3TC-FAIL            _Parser._slice  ['This expression has type (PyCSL_Program.pytuple_int_int, PyCSL_Program. pytuple_int_int), but is expected to have type ()']
ERASURE              _Parser.error  ["SELF-FIELD ERASURE (read in source, absent from body: ['filename'])"]
ERASURE              _Parser.unsupported  ["SELF-FIELD ERASURE (read in source, absent from body: ['filename'])"]
L3TC-FAIL            _Parser._fin  ['This expression has type PyCSL_Program._tok, but is expected to have type int']
L3TC-FAIL            _Parser.node  ['This expression has type int, but is expected to have type PyCSL_Program.']
ERASURE              _Parser._max_end  ['opaque attribute getter', 'hashed literal (string erased to an int)', 'hashed attribute name']
L3TC-FAIL            _Parser._fin_block  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            NodeVisitor.visit  ['This expression has type ref int @rho, it cannot be applied']
VAL(re-abstracted)   NodeVisitor.generic_visit  
L3TC-FAIL            NodeVisitor.visit_Constant  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            NodeTransformer.generic_visit  ['This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            _Precedence.next  ['This expression has type PyCSL_Program._precedence, but is expected to have type int']
L3TC-FAIL            _Unparser.interleave  ['This expression has type int, it cannot be applied']
L3TC-FAIL            _Unparser.items_view  ['This expression has type int, it cannot be applied']
L3TC-FAIL            _Unparser.buffered  ["This expression has type int, but is expected to have type ref 'mu @rho"]
L3TC-FAIL            _Unparser.delimit_if  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            _Unparser.set_precedence  ['This expression has type seq.Seq.seq int, but is expected to have type int']
L3TC-FAIL            _Unparser.get_type_comment  ['This expression has type string, but is expected to have type int']
L3TC-FAIL            _Unparser._write_docstring_and_traverse_body  ['This expression has type int, but is expected to have type array.Array.array']
ERASURE              _Unparser.visit_If  ['opaque attribute getter', 'hashed literal (string erased to an int)', 'while without a variant (termination will fail)', "SELF-FIELD ERASURE (read in source, absent from body: ['block'])"]
L3TC-FAIL            _Unparser.visit_Dict  ["This pattern has type ('mu, 'mu1), but is expected to have type int"]
L3TC-FAIL            _Unparser.visit_BoolOp  ['This function is stateful, it cannot be used as pure']
L3TC-FAIL            _Unparser.visit_arguments  ['This expression has type array.Array.array int @rho, but is expected to have type int']
L3TC-FAIL            _Unparser._str_literal_helper  ['This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            _Unparser.visit_JoinedStr  ["This expression has type int, but is expected to have type ref 'mu @rho"]
L3TC-FAIL            _Unparser._write_fstring_inner  ['this expression raises unlisted exception ValueError']
L3TC-FAIL            _Unparser.visit_MatchStar  ['This expression has type string, but is expected to have type int']
L3TC-FAIL            _Unparser.visit_MatchMapping  ["This pattern has type ('mu, 'mu1), but is expected to have type int"]
L3TC-FAIL            _Unparser.visit_MatchClass  ["This pattern has type ('mu, 'mu1), but is expected to have type int"]
L3TC-FAIL            <module>._build_nodes  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            <module>._const_value_getter  ["unbound function or predicate symbol 'self'"]
L3TC-FAIL            <module>._const_value_setter  ["unbound function or predicate symbol 'self'"]
L3TC-FAIL            <module>._lex  ["unbound function or predicate symbol 'toks'"]
L3TC-FAIL            <module>.comments  ['This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            <module>._decode_fstring_middle  ['This expression has type string, but is expected to have type int']
L3TC-FAIL            <module>._merge_str_constants  ['[ir-emit]: in-place field mutation `<Subscript base>.end_lineno = ...` is out of scope: a record reached through a subscript/nested base (e.g. a `List[<record>]` element `a[i].end_lineno`) is modelled as a PURE (immutable) record — Why3 forbids a mutable element inside `array`, so the field store cannot be made caller-visible. Rebuild the element (`a[i] = Record(...)`) or mutate a local record and store it back.']
L3TC-FAIL            <module>._set_ctx  ["unbound program function or variable symbol 'ctx'"]
L3TC-FAIL            <module>._parse_number  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            <module>._decode_string  ["unbound function or predicate symbol 'body'"]
L3TC-FAIL            <module>._decode_escapes  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            <module>.parse  ["unbound function or predicate symbol 'toks'"]
L3TC-FAIL            <module>.literal_eval  ['This expression has type string, but is expected to have type int']
L3TC-FAIL            <module>.iter_fields  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            <module>.walk  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            <module>.fix_missing_locations  ['This expression has type (), but is expected to have type int']
L3TC-FAIL            <module>.increment_lineno  ['This expression has type ref int @rho, but is expected to have type int']
L3TC-FAIL            <module>.dump  ['This expression has type string, but is expected to have type int']
L3TC-FAIL            <module>.get_source_segment  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            <module>.unparse  ['syntax error']
L3TC-FAIL            <module>._self_test  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            <module>.main  ['This expression has type int, but is expected to have type array.Array.array']
