NO-LIVE-SOURCE       ExpressionEmissionMixin._add_abstract_op  
L3TC-FAIL            ExpressionEmissionMixin._is_emit_ir_expr  ["This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._e  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            ExpressionEmissionMixin._to_bool  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            ExpressionEmissionMixin._match_pattern_cond  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            ExpressionEmissionMixin._emit_membership  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._emit_bitwise_or_power  ['This expression has type string, but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._is_string_expr  ["unbound function or predicate symbol '_sing0'"]
L3TC-FAIL            ExpressionEmissionMixin._handle_binop  ["PARAM-LIST DIVERGES mirror=['self', 'expr', 'local_refs', 'invariant_ctx', 'subst'] live=['self', 'node', 'local_refs', 'invariant_ctx', 'subst']", 'This expression has type int -> option.Option.option int, but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._iter_len_expr  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            ExpressionEmissionMixin._handle_len_call  ['This expression has type array.Array.array int @rho, but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._handle_join_call  ["PARAM-LIST DIVERGES mirror=['self', 'expr', 'args'] live=['self', 'expr', 'args', 'local_refs', 'invariant_ctx', 'subst']", 'This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_sum_call  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            ExpressionEmissionMixin._resolve_dotted_signature  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_dotted_call  ["PARAM-LIST DIVERGES mirror=['self', 'func_name', 'args'] live=['self', 'func_name', 'args', 'arg_irs']", "unbound function or predicate symbol 'param_types'"]
L3TC-FAIL            ExpressionEmissionMixin._coerce_dotted_args  ['This expression has type array.Array.array string @rho, but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._dotted_ensures_suffix  ['This expression has type PyCSL_Program._union__dotted_ensures_suffix_3, but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._handle_struct_call  ['This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            ExpressionEmissionMixin._emit_contract_logic_symbol  ["This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._linear_form  ["This expression has type (int, 'mu -> option.Option.option int), but is expected to have type (int, int)"]
L3TC-FAIL            ExpressionEmissionMixin._static_width  ['This expression has type (int, int), but is expected to have type ()']
L3TC-FAIL            ExpressionEmissionMixin._handle_call_expr  ["PARAM-LIST DIVERGES mirror=['self', 'expr', 'local_refs', 'invariant_ctx', 'subst'] live=['self', 'node', 'local_refs', 'invariant_ctx', 'subst']", 'This expression has type int, but is expected to have type array.Array.array']
L3TC-FAIL            ExpressionEmissionMixin._content_string_method  ['This expression has type int, but is expected to have type PyCSL_Program.']
L3TC-FAIL            ExpressionEmissionMixin._call_named_builtins  ['This expression has type int, but is expected to have type string']
ERASURE              ExpressionEmissionMixin._emit_metatype_tags  ['hashed literal (string erased to an int)']
L3TC-FAIL            ExpressionEmissionMixin._tag_of_value  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_isinstance  ["PARAM-LIST DIVERGES mirror=['self', 'expr'] live=['self', 'expr', 'local_refs']", "This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._call_record_constructor  ["PARAM-LIST DIVERGES mirror=['self', 'args', 'func_name'] live=['self', 'args', 'func_name', 'kwargs_map', 'kwargs_ir']", "This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._call_bytes_methods  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_subscript  ["PARAM-LIST DIVERGES mirror=['self', 'expr', 'local_refs', 'invariant_ctx', 'subst'] live=['self', 'node', 'local_refs', 'invariant_ctx', 'subst']", '  _check_union_gt1(ir)']
L3TC-FAIL            ExpressionEmissionMixin._handle_attribute_expr  ["PARAM-LIST DIVERGES mirror=['self', 'expr', 'local_refs', 'invariant_ctx', 'subst'] live=['self', 'node', 'local_refs', 'invariant_ctx', 'subst']", 'This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._push_quant_binder  ['This expression has type PyCSL_Program._union__push_quant_binder_17, but is expected to have type int']
L3TC-FAIL            ExpressionEmissionMixin._pop_quant_binder  ["This pattern has type ('mu, 'mu1), but is expected to have type int"]
L3TC-FAIL            ExpressionEmissionMixin._handle_fstring_expr  ['This expression has type int, but is expected to have type string']
L3TC-FAIL            ExpressionEmissionMixin._handle_ifexpr_expr  ["This expression has type int, but is expected to have type 'mu -> option."]
L3TC-FAIL            ExpressionEmissionMixin._expr_to_whyml  ["unbound function or predicate symbol '_sing'"]
L3TC-FAIL            ExpressionEmissionMixin._expr_to_whyml_string_ctx  ['This expression has type string, but is expected to have type int']
