GETATTR_FALLTHROUGH	src/self-annotate/src/frontend/Module5_IREmitter.py	None	node	CtorPayload	index
GETATTR_FALLTHROUGH	src/self-annotate/src/frontend/desugar.py	None	sub	Any	func
GETATTR_FALLTHROUGH	src/self-annotate/src/frontend/desugar.py	None	sub	Any	func
GETATTR_FALLTHROUGH	src/self-annotate/src/frontend/desugar.py	None	sub	Any	keywords
GETATTR_FALLTHROUGH	src/self-annotate/src/frontend/exec_splice.py	None	call	object	func
GETATTR_FALLTHROUGH	src/self-annotate/src/frontend/exec_splice.py	None	call	object	func
GETATTR_FALLTHROUGH	src/self-annotate/src/frontend/exec_splice.py	None	call	object	args
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/expressions.py	None	self	None	_in_loop_spec
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/expressions.py	None	self	None	_property_getters
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/expressions.py	None	self	None	_pyval_locals
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_current_self_type
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_mutable_state_classes
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_term_adt_spec
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_current_self_type
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_mutable_state_classes
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_term_adt_spec
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_variant_types
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_record_types
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_pyconst_val_tuple_slot
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_pyconst_val_local_vars
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_mutable_state_classes
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_tuple_string_slot_locals
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/functions.py	None	self	None	_tuple_emit_ir_slot_locals
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/statements.py	None	self	None	_ambiguous_fields
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/stmt_control_flow.py	None	self	None	_current_self_type
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/stmt_control_flow.py	None	self	None	_mutable_state_classes
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/stmt_control_flow.py	None	self	None	_pyval_seq_locals
GETATTR_FALLTHROUGH	src/self-annotate/src/module6_whyml/stmt_control_flow.py	None	stmt	TryStmt	finalbody
